,location_name,google_name,Location,Average User Rating,Total User Rating
1526,Captain Lawrence Brewing Co,Captain Lawrence Brewing Company,"{'lat': 41.0706772, 'lng': -73.8140416}",4.6,442
1527,Captain Pabst Pilot House,Captain Pabst Pilot House (formerly Pabst Milwaukee Brewery & Taproom),"{'lat': 43.0455583, 'lng': -87.9255084}",4.6,236
1528,Captured By Porches Brewing Company Barley Sprouts Brewery,N/A,N/A,N/A,N/A
1529,Carbondale Beer Works,Carbondale Beer Works,"{'lat': 39.4007455, 'lng': -107.2130494}",4.4,158
1530,Cardinal Craft Brewing Academy Skagit Valley College,Cardinal Craft Brewing,"{'lat': 48.4724852, 'lng': -122.4098437}",4.4,12
1531,Carey's Brew House,Carey's Brew House,"{'lat': 42.150171, 'lng': -77.060636}",4,196
1532,Carillon Brewing Company,Carillon Brewing Company,"{'lat': 39.7288606, 'lng': -84.1982163}",4.3,401
1533,Carlyle Brewing Co,Carlyle Brewing Co.,"{'lat': 42.26905, 'lng': -89.0905722}",4.6,139
1534,Carmel Craft Brewing Co,Carmel Craft Brewing Company,"{'lat': 36.540493, 'lng': -121.907794}",4.8,30
1535,Carmelita's Mexican Restaurant,Carmelita's Mexican Restaurant,"{'lat': 27.819218, 'lng': -82.7534033}",4.3,1511
1536,Carmody Irish Pub & Brewing,Carmody Irish Pub,"{'lat': 46.7899778, 'lng': -92.0939556}",4.3,282
1537,Carolina Bauernhaus Ales,Carolina Bauernhaus Brewery & Winery,"{'lat': 34.505618, 'lng': -82.651961}",4.8,136
1538,Carolina Bauernhaus Greenville,Carolina Bauernhaus Greenville,"{'lat': 34.8490856, 'lng': -82.4271661}",4.9,18
1539,Carolina Brewery Pittsboro,Carolina Brewery & Grill,"{'lat': 35.743852, 'lng': -79.1654564}",4,359
1540,Carolina Brewing Co,Carolina Brewing Company,"{'lat': 35.6560063, 'lng': -78.8543135}",4.7,101
1541,Carroll Brewing Co,Carroll Brewing Co,"{'lat': 42.06374539999999, 'lng': -94.8651235}",4.7,54
1542,Carrollwood Brewing Company,N/A,N/A,N/A,N/A
1543,Carson's Brewery,Carson's Brewery,"{'lat': 38.0154013, 'lng': -87.5208798}",4.7,219
1544,Cartecay River Brewing Co,Cartecay River Brewing Co.,"{'lat': 34.6821749, 'lng': -84.4917329}",4.9,80
1545,Carters Brewing,Carter's Brewing,"{'lat': 45.7823753, 'lng': -108.5020065}",4.7,88
1546,Carton Brewing Co,Carton Brewing,"{'lat': 40.411777, 'lng': -74.0381766}",4.8,252
1547,Carver Brewing Co,Carver Brewing Company,"{'lat': 37.274824, 'lng': -107.8800933}",4.6,1586
1548,Cary Ale House & Brewing Company,Cary Ale House & Brewing Company,"{'lat': 42.20891, 'lng': -88.24307499999999}",4.6,272
1549,Casa Agria Specialty Ales,N/A,N/A,N/A,N/A
